Číslo formy,Název výroby,Zákazník,Pozice,Stav,Původní pozice,Návodka (URL),Fotografie formy,Smazáno
458,null,Novares,40B b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/458_Rahmen_natur_chrom_W20461_00458.pdf"", ""title"" : ""Návodka""}, {""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/458_Rahmen_schwarz_chrom_W20461_00458.pdf"", ""title"" : ""Navodka_alt""}]",null,false
459,null,Novares,40B z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/459_Geause_Schminksp_Rohteil_Natur_W20421_00459.pdf"", ""title"" : ""Návodka""}, {""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/459_Geause_Schminksp_Rohteil_Schwarz_W20421_00459.pdf"", ""title"" : ""Navodka_alt""}]",null,false
460,null,Witte,42B z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/460_00460_Deckel_Actuator_L_R.pdf"", ""title"" : ""Návodka""}]",null,false
461,null,Others,37A c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/461_Cover_01.5B1_00461.pdf"", ""title"" : ""Návodka""}]",null,false
462,null,Witte,44B h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/462_00462_Holder_Switch_RS_LS.pdf"", ""title"" : ""Návodka""}]",null,false
463,null,Witte,43B c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/463_00463_Housing_GOB.pdf"", ""title"" : ""Návodka""}]",null,false
464,null,Witte,44A c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/464_00464_Clip.pdf"", ""title"" : ""Návodka""}]",null,false
465,null,Witte,44A c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/465_00465_Cover.pdf"", ""title"" : ""Návodka""}]",null,false
466,null,Witte,41C č.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/466_Kindersicherungshebel_00466.pdf"", ""title"" : ""Návodka""}]",null,false
469,null,Mubea,51E m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/469_Spring_Isolator_00469.pdf"", ""title"" : ""Návodka""}]",null,false
470,null,Witte,43D b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/470_00470_DEP_Pad_front.pdf"", ""title"" : ""Návodka""}]",null,false
471,null,Witte,44B c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/471_00471_Plastic_Axis.pdf"", ""title"" : ""Návodka""}]",null,false
472,null,Witte,43B c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/472_00472_Pusher.pdf"", ""title"" : ""Návodka""}]",null,false
473,null,Witte,44A h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/473_00473_Rolle.pdf"", ""title"" : ""Návodka""}]",null,false
474,null,Witte,43D c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/474_00474_Abstuetzung.pdf"", ""title"" : ""Návodka""}]",null,false
475,null,Witte,43D c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/475_00475_Auslosehebel.pdf"", ""title"" : ""Návodka""}]",null,false
476,null,Witte,40B h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/476_00476_Deckel.pdf"", ""title"" : ""Návodka""}]",null,false
477,null,Witte,44A h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/477_00477_Zentralhebel.pdf"", ""title"" : ""Návodka""}]",null,false
478,null,Witte,43D b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/478_00478_Anlenkhebel_OT_3_4.pdf"", ""title"" : ""Návodka""}]",null,false
479,null,Witte,40B h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/479_00479_Fuhrungshebel.pdf"", ""title"" : ""Návodka""}]",null,false
48,null,Witte,49E z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/48_00048_Verbindungsstange_L_R.pdf"", ""title"" : ""Návodka""}]",null,false
480,null,Witte,40B h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/480_00480_Lagerschalle.pdf"", ""title"" : ""Návodka""}]",null,false
481,null,Others,52A m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/481_00481_V36_Las.pdf"", ""title"" : ""Návodka""}, {""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/481_00481_V6_Lock_Yellow.pdf"", ""title"" : ""Žlutá""}, {""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/481_00481_V6_Lock_Red.pdf"", ""title"" : ""Červená""}]",null,false
482,null,Others,37A m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/482_00482_7mm_ror.pdf"", ""title"" : ""Návodka""}]",null,false
483,null,Others,37A m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/483_00483_10mm_ror.pdf"", ""title"" : ""Návodka""}]",null,false
484,null,Novares,40B c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/484_00484_Blende_Bedienrad_Mitte_25101.pdf"", ""title"" : ""Návodka""}]",null,false
485,null,Novares,39B z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/485_00485_Blende_ITA_vorn_oben_LL_rohteil_25007.pdf"", ""title"" : ""Návodka""}]",null,false
